city,country,2017,2018,2019,2020,2021,2022,2023
Geelong,Australia,7.0,6.8,6.9,6.9,5.9,4.4,4.4
Geeveston,Australia,8.3,7.9,11.8,7.7,6.4,6.9,6.7
George Town,Australia,4.1,4.4,4.1,4.3,3.3,2.4,2.3
Geraldton,Australia,,,7.7,7.6,6.8,1.1,1.1
Gladstone,Australia,7.2,5.9,7.0,6.2,5.0,3.2,3.2
Glenorchy,Australia,4.7,4.4,4.8,4.8,3.6,3.8,3.7
Gol Gol,Australia,,,,,2.2,2.0,1.9
Gold Coast,Australia,,,,,4.7,2.7,2.5
Goulburn,Australia,,,,13.3,11.8,4.3,4.3
Grafton,Australia,,,,3.1,1.8,2.2,2.2
Gretna,Australia,3.1,3.1,4.7,3.1,2.6,2.8,2.7
Griffith,Australia,,,,,3.1,1.9,1.9
Gulgong,Australia,,,,,4.4,2.1,2.0
Gunnedah,Australia,,,,7.5,5.3,5.1,5.1
Hadspen,Australia,9.8,10.2,9.3,8.7,6.5,6.0,5.8
Hamilton,Australia,,,6.7,7.3,5.6,4.2,4.2
Heathfield,Australia,,,,5.4,6.5,4.0,4.0
Hillston,Australia,,,,3.7,2.4,1.8,1.7
Hobart,Australia,3.7,4.0,4.4,3.7,3.0,3.2,3.1
Huonville,Australia,5.9,6.1,7.5,6.1,4.6,4.8,4.7
Judbury,Australia,1.9,2.2,5.7,2.4,2.0,2.0,2.0
Kembla Grange,Australia,6.9,7.0,9.9,9.3,13.4,4.8,4.8
Kennington,Australia,,,,,4.0,3.9,3.9
Kingston,Australia,,,,,4.0,2.2,2.2
Lake Cargelligo,Australia,,,,,2.9,2.1,2.0
Latrobe,Australia,,,8.5,11.1,6.0,5.9,5.6
Launceston,Australia,7.0,5.3,5.2,6.7,4.6,5.3,5.1
Lilydale,Australia,5.0,4.8,4.8,5.2,4.2,3.8,3.7
Lismore,Australia,,,,,3.7,2.4,2.4
Longford,Australia,10.7,11.6,9.5,9.7,6.8,7.8,7.4
Ludmilla,Australia,,,,6.2,9.6,12.3,15.7
Mackay,Australia,,,,5.9,5.6,5.9,5.9
Maitland,Australia,,,,,5.6,3.2,3.2
Malvern East,Australia,,,,,5.3,7.2,7.2
Mandurah,Australia,,,,,6.7,1.7,1.8
Manilla,Australia,,,,,14.7,7.8,7.8
Mayfield West,Australia,,,,,8.1,6.0,6.0
McKinnon,Australia,,,7.2,9.8,4.3,4.8,4.7
Melbourne,Australia,5.4,5.8,6.5,8.3,5.6,4.8,4.8
Melton,Australia,3.5,4.7,6.4,9.5,6.0,5.8,5.8
Merimbula,Australia,,,,,5.3,3.6,3.5
Merriwa,Australia,,,,,4.4,3.0,3.0
Milsons Point,Australia,,,,,4.7,5.8,5.7
Mitcham,Australia,,,7.6,9.5,6.6,6.1,4.8
Moe,Australia,6.5,6.4,8.6,9.6,7.1,4.7,4.6
Moranbah,Australia,,,4.1,,6.5,5.5,5.5
Moree,Australia,,,,,2.0,2.2,2.2
Mornington,Australia,3.9,3.0,3.8,3.2,2.4,2.7,2.7
Moruya,Australia,,,,,5.4,3.7,3.7
Morwell,Australia,6.7,6.5,7.6,9.3,6.3,4.3,4.3
Mount Isa,Australia,,,6.3,5.4,6.6,2.1,2.1
Mountain Creek,Australia,,,,,5.7,6.0,6.0
Muswellbrook,Australia,9.4,9.5,13.5,10.1,13.4,6.6,6.7
Mutdapilly,Australia,,,,,5.4,5.2,5.1
Narrabri,Australia,,,,7.2,10.1,3.9,3.8
Narrogin,Australia,,,,,,6.6,6.5
New Norfolk,Australia,11.2,9.3,8.5,8.3,6.7,8.0,7.7
Newcastle,Australia,7.4,7.9,12.5,7.9,6.2,3.8,3.8
Nimbin,Australia,,,,,4.5,2.2,2.2
North Maclean,Australia,,,,,6.5,5.4,5.4
North Shore,Australia,,,,,3.6,2.2,2.2
Oatlands,Australia,5.7,6.8,5.9,5.5,3.9,4.1,3.9
Orange,Australia,,,,9.9,12.8,5.7,5.7
Ouyen,Australia,,,,3.0,2.5,2.0,1.9
Penrith,Australia,,,,,11.7,6.6,6.6
Perth,Australia,9.7,9.3,6.4,8.4,6.8,6.25,6.0
Peterborough,Australia,,,,,5.0,2.3,2.2
Picton,Australia,,,,,7.8,4.5,4.5
Port Macquarie,Australia,,,,8.1,10.8,3.7,3.8
Port Melbourne,Australia,,,6.9,8.9,6.3,5.2,5.2
Portland,Australia,,,,,7.4,4.7,4.7
Queenstown,Australia,,,6.3,6.7,4.3,3.6,3.4
Quinns Rocks,Australia,,,,,8.2,2.6,2.5
Renmark,Australia,,,,,2.2,1.8,1.7
Richmond,Australia,,,,,6.2,3.3,3.3
Rocklea,Australia,7.2,6.8,9.0,6.5,5.4,7.6,7.3
Rouse Hill,Australia,,,,9.2,12.4,4.9,4.9
Roxby Downs,Australia,,,,,1.6,1.5,1.5
Scottsdale,Australia,8.1,7.1,6.4,7.3,4.6,4.2,4.1
Seville Grove,Australia,,,,,4.5,1.5,1.5
Sheffield,Australia,3.6,4.7,5.1,5.5,3.8,3.8,3.7
Shellharbour,Australia,6.6,6.8,9.6,8.0,11.6,4.2,4.2
Singleton,Australia,8.1,8.1,12.5,9.2,12.6,6.0,6.0
Smithton,Australia,4.9,4.9,4.3,3.9,3.0,2.6,2.6
South Launceston,Australia,6.6,6.2,5.6,5.8,4.4,4.5,4.2
Southport,Australia,,,8.6,5.8,5.2,4.6,4.6
Springfield Lakes,Australia,,,,,4.3,2.1,2.1
Springwood,Australia,5.5,6.3,6.9,5.9,5.4,5.8,5.8
St Helens,Australia,3.3,2.9,2.4,2.4,1.9,1.8,1.8
Swan,Australia,,8.9,8.1,8.8,7.6,3.3,3.1
Swan Hill,Australia,,,,3.5,2.2,1.9,1.9
Sydney,Australia,7.1,7.6,10.1,7.2,5.3,3.1,3.1
Tailem Bend,Australia,,,,,2.6,1.7,1.7
Tamworth,Australia,7.8,8.5,15.2,9.1,12.7,5.4,5.4
Targinie,Australia,,,7.7,5.5,4.9,4.8,4.7
The Gap,Australia,,,,,6.8,4.2,4.1
The Vines,Australia,,,6.5,,5.6,3.1,3.2
Toowoomba,Australia,,,,,4.0,2.4,2.4
Townsville,Australia,,,6.5,5.7,5.8,5.7,5.7
Traralgon,Australia,8.5,8.0,9.2,8.5,7.4,6.7,6.6
Triabunna,Australia,8.2,8.4,4.8,4.8,4.0,4.5,4.5
Umina,Australia,,,,,4.5,2.0,2.0
Wagga Wagga,Australia,8.0,8.4,12.4,12.4,8.0,5.1,5.0
Wallsend,Australia,7.3,7.5,11.7,8.3,11.7,5.7,5.7
Wangaratta,Australia,9.5,7.3,7.9,13.0,5.3,4.8,4.8
Warragul,Australia,,,,,6.0,4.6,4.6
Warriewood,Australia,,,9.1,6.0,4.4,2.2,2.2
Werribee,Australia,,,6.4,8.9,5.9,3.3,3.3
West Ulverstone,Australia,3.7,4.0,3.7,3.8,2.9,2.6,2.6
West Wyalong,Australia,,,,,2.6,2.0,2.0
Westbury,Australia,8.1,8.7,8.2,7.9,5.9,5.5,5.4
Wodonga,Australia,,,,,8.5,5.4,4.9
Wollongong,Australia,7.0,7.3,10.6,8.0,6.3,3.0,3.0
Woolloongabba,Australia,,,10.1,6.7,6.3,6.3,6.2
Wynnum,Australia,4.0,4.7,7.6,5.9,4.3,3.2,3.2
Wynnum West,Australia,,,8.1,5.0,4.1,3.8,3.8
Wynyard,Australia,6.6,5.5,5.3,5.2,4.0,3.9,3.8
Wyong,Australia,5.8,6.7,12.1,7.8,11.6,4.9,5.0
Amstetten,Austria,,,,,11.9,11.2,11.2
Axams,Austria,,,8.3,8.0,9.0,8.6,8.5
Bad Ischl,Austria,8.7,10.4,8.5,7.8,7.8,7.4,7.3
Bad Voslau,Austria,,,,,9.3,9.0,9.0
Baden,Austria,,18.9,14.3,13.8,12.3,13.1,13.1
Bludenz,Austria,,,,,14.8,14.7,14.6
Donaustadt,Austria,,,,,,11.2,10.8
Dornbirn,Austria,,,,,8.9,10.8,10.6
Durnrohr,Austria,11.5,11.5,10.5,9.6,10.5,10.8,10.7
Ebensee,Austria,4.3,6.2,7.4,5.4,4.9,5.1,4.8
Edlitz,Austria,,,13.5,12.8,14.0,15.2,14.8
Eisenstadt,Austria,12.8,14.0,11.3,10.1,10.4,11.0,10.9
Enns,Austria,13.8,16.8,11.6,8.9,10.2,11.9,11.9
Freindorf,Austria,,,,,,7.4,7.1
Ganserndorf,Austria,,,,,9.7,9.7,9.8
Glinzendorf,Austria,13.8,14.3,11.2,10.6,10.9,9.3,9.3
Graz,Austria,,,,10.6,11.5,11.5,11.3
Hainburg,Austria,,,,10.8,11.8,11.3,11.2
Haselbach,Austria,13.1,13.2,12.3,10.7,11.1,10.8,10.8
Heidenreichstein,Austria,,,,,8.0,6.9,6.9
Illmitz,Austria,12.5,13.9,11.1,10.2,10.2,9.6,9.6
Innere Stadt,Austria,,,,,,11.4,10.9
Innsbruck,Austria,,,11.3,11.2,11.1,10.1,10.0
Kematen an der Ybbs,Austria,,,,,8.8,9.9,9.8
Klagenfurt am Woerthersee,Austria,,,9.6,8.1,8.3,10.3,10.2
Kloech,Austria,,,,,9.3,11.8,10.9
Klosterneuburg,Austria,,,,,12.8,9.1,9.4
Leibnitz,Austria,,,,14.2,13.3,13.7,13.8
Lenzing,Austria,,,,9.7,9.1,9.2,9.1
Linz,Austria,13.4,15.4,13.3,11.3,12.1,11.8,11.8
Lustenau,Austria,,,,,11.6,12.6,12.5
Meidling,Austria,,,,,,10.7,10.3
Mistelbach,Austria,,,,,10.9,14.5,14.4
Modling,Austria,,,,,10.7,10.2,10.1
Neudorf bei Staatz,Austria,,,,,18.4,17.6,17.8
Ottakring,Austria,,,,,,9.6,9.2
Perchtoldsdorf,Austria,,,,,,10.0,9.6
Puntigam,Austria,,,,15.8,16.8,13.4,13.4
Raab,Austria,,,9.6,8.2,8.2,10.0,9.9
Rannersdorf,Austria,,,,,,9.4,9.2
Reichraming,Austria,4.7,5.9,6.2,4.9,5.3,4.3,4.2
Salzburg,Austria,,,,9.8,9.7,9.3,9.2
Sankt Oswald bei Freistadt,Austria,,,8.2,7.3,7.2,7.1,7.0
Sankt Pantaleon,Austria,,,,,,10.0,9.8
Schondorf,Austria,12.2,13.3,11.3,9.9,10.8,10.8,10.9
Schwechat,Austria,13.4,15.2,11.6,10.9,11.0,10.5,10.4
St. Polten,Austria,12.9,14.3,11.0,12.1,11.8,11.5,11.2
St. Valentin,Austria,,,11.3,10.9,11.2,10.4,10.4
Steyr,Austria,12.3,13.3,11.0,9.4,10.0,9.9,9.8
Steyregg,Austria,14.6,13.7,12.3,11.3,11.7,11.4,11.3
Stockerau,Austria,,,,,10.2,10.2,10.2
Stoessing,Austria,,,15.1,13.5,14.1,14.2,14.3
Traun,Austria,14.6,14.9,12.9,11.9,12.0,12.0,12.0
Tulln,Austria,,,,,11.1,10.5,10.5
Viehofen,Austria,,,,,,9.7,9.6
Vienna,Austria,13.0,15.2,12.3,11.0,11.8,10.5,10.5
Voelkermarkter Vorstadt,Austria,,,12.5,11.8,10.9,12.2,12.0
Voitsberg,Austria,12.6,14.7,10.6,11.2,11.6,11.2,11.0
Wels,Austria,13.5,15.3,12.2,11.1,10.9,10.5,10.5
Wiener Neudorf,Austria,12.4,14.0,11.5,11.0,11.6,10.1,10.0
Wolfsberg,Austria,,,13.9,12.8,13.0,13.1,13.2
Zell am See,Austria,,,,8.8,8.3,7.2,7.0
Zellerndorf,Austria,,,,8.7,9.8,8.7,8.7
Ziersdorf,Austria,,,,,9.2,9.8,9.7
Baku,Azerbaijan,,,,,17.6,18.9,19.1
Manama,Bahrain,62.5,59.8,46.8,39.7,49.8,66.6,67.1
Dhaka,Bangladesh,79.7,97.1,83.3,77.1,78.1,65.8,65.9
Aarschot,Belgium,12.7,13.7,11.6,10.1,12.1,10.5,10.5
Andenne,Belgium,9.7,11.7,10.3,6.2,8.7,7.5,7.5
Antwerpen,Belgium,14.0,14.4,12.9,10.7,12.7,11.4,11.3
Baelen,Belgium,8.4,8.6,8.9,5.3,7.6,5.5,5.7
Bertrix,Belgium,8.0,9.1,7.9,6.6,6.1,5.6,5.6
Beveren,Belgium,14.4,14.9,13.3,11.6,13.0,11.4,11.4
Bocholt,Belgium,,,,,17.9,16.9,16.8
Boom,Belgium,12.6,13.2,11.5,10.5,11.9,11.2,11.0
Brugge,Belgium,,,,14.2,12.4,13.3,11.7
Brussels,Belgium,14.9,14.1,14.1,9.3,11.0,10.6,10.5
Charleroi,Belgium,11.4,12.0,10.6,7.9,9.5,8.4,8.4
Chatelet,Belgium,10.6,11.7,11.2,7.3,9.8,8.4,8.4
Damme,Belgium,12.8,13.1,12.2,10.5,11.9,11.2,11.2
Deinze,Belgium,,,,,18.7,17.4,17.4
Dessel,Belgium,13.8,13.2,12.3,10.7,11.9,11.0,11.0
Destelbergen,Belgium,13.6,14.2,12.5,10.9,12.3,11.9,11.9
Deurne,Belgium,,,11.4,11.4,12.7,12.3,12.2
Engis,Belgium,12.7,11.9,12.2,7.4,9.4,7.8,7.7
Evergem,Belgium,14.2,15.3,14.2,13.0,14.4,13.9,13.8
Genk,Belgium,,,,11.6,13.9,11.8,11.8
Gent,Belgium,14.0,14.9,13.0,10.8,12.7,11.6,11.6
Gistel,Belgium,,,,,,11.4,11.2
Habay,Belgium,7.8,8.4,8.2,5.2,5.0,5.5,5.4
Hasselt,Belgium,,,,10.0,11.2,11.4,11.4
Heist-op-den-Berg,Belgium,,,,,18.8,16.7,16.6
Herstal,Belgium,10.1,11.0,10.4,7.1,8.8,8.0,8.0
Houthalen,Belgium,,,10.7,10.8,12.9,11.1,11.1
Kapellen,Belgium,,,13.2,11.4,12.3,11.0,11.0
Landen,Belgium,12.5,12.8,10.9,9.1,11.3,9.6,9.4
Leuven,Belgium,,,14.6,12.5,14.4,9.6,9.5
Liège,Belgium,10.0,10.8,9.2,6.5,8.7,7.7,7.7
Mechelen,Belgium,,,,,11.9,12.0,11.9
Menen,Belgium,,,,,14.1,13.5,13.4
Mons,Belgium,11.4,11.3,12.1,7.9,10.6,9.3,9.2
Mortsel,Belgium,,,9.4,10.7,11.5,11.2,11.1
Oostrozebeke,Belgium,17.3,17.2,15.1,13.9,15.2,14.1,14.1
Oupeye,Belgium,,,,,9.9,9.7,8.7
Roeselare,Belgium,14.1,15.3,13.3,12.1,13.3,14.0,13.9
Saint-Nicolas,Belgium,9.4,10.8,10.1,7.2,8.6,7.8,7.8
Sainte-Ode,Belgium,7.0,8.7,7.5,5.6,5.4,4.8,4.6
Schoten,Belgium,14.3,14.5,12.8,11.4,12.7,11.4,11.3
Seraing,Belgium,11.4,12.5,10.5,10.9,12.7,11.6,11.5
Somme-Leuze,Belgium,8.0,9.1,8.4,5.5,6.7,6.1,6.0
Stabroek,Belgium,13.6,13.6,11.7,11.9,12.9,11.8,11.8
Terkoest,Belgium,,,,10.0,11.0,10.7,10.6
Tournai,Belgium,10.9,11.1,11.0,7.2,8.9,8.8,8.6
Veurne,Belgium,11.7,12.8,11.3,9.8,10.8,10.5,10.5
Vielsalm,Belgium,5.6,7.3,6.4,4.2,5.0,4.8,4.6
Vilvoorde,Belgium,14.2,14.9,12.6,10.6,12.0,10.7,10.6
Viroinval,Belgium,7.6,8.9,8.5,4.8,6.7,5.2,5.2
Wielsbeke,Belgium,14.9,16.5,14.8,13.9,15.0,13.8,13.7
Zelzate,Belgium,15.0,15.6,14.7,11.9,12.8,11.9,12.2
Zulte,Belgium,,,,,17.3,16.3,16.2
Zwevegem,Belgium,13.9,15.4,13.3,11.7,14.0,12.2,12.1
Zwijndrecht,Belgium,,,9.2,10.1,11.7,11.0,10.9
La Democracia,Belize,,,,,5.4,5.6,5.6
Hamilton,Bermuda,,,,,3.3,3.0,3.0
La Paz,Bolivia,,,,,5.5,7.3,7.3
The Bottom,"Bonaire, Saint Eustatius and Saba",,,,,5.1,3.3,3.5
Banja Luka,Bosnia Herzegovina,,,,25.0,26.4,37.1,37.1
Bihac,Bosnia Herzegovina,,,,,33.0,29.5,31.4
Bosanska Krupa,Bosnia Herzegovina,,,,,29.3,34.7,35.7
Doboj,Bosnia Herzegovina,,,,,,40.8,41.2
Drinic,Bosnia Herzegovina,,,,,23.8,26.7,27.8
Goražde,Bosnia Herzegovina,,,25.0,,39.3,22.3,22.8
Gradiska,Bosnia Herzegovina,,,,,34.9,34.6,34.5
Hresa,Bosnia Herzegovina,,,,,16.3,17.5,17.3
Ilidza,Bosnia Herzegovina,,,,,52.6,43.1,40.4
Ilijaš,Bosnia Herzegovina,,,,,33.7,29.9,33.0
Jajce,Bosnia Herzegovina,,,,,29.7,33.5,31.0
Kozarska Dubica,Bosnia Herzegovina,,,,,26.2,26.1,27.5
Laktasi,Bosnia Herzegovina,,,,,42.8,34.6,34.2
Lukavica,Bosnia Herzegovina,,,,,34.1,34.6,34.8
Mostar,Bosnia Herzegovina,,,,,10.8,15.4,15.4
Nevesinje,Bosnia Herzegovina,,,,,,19.2,20.0
Pale,Bosnia Herzegovina,,,,,38.8,45.7,44.8
Prijedor,Bosnia Herzegovina,,,,,42.2,44.1,46.7
Sarajevo,Bosnia Herzegovina,,38.4,34.1,42.5,29.7,32.4,32.4
Sokolac,Bosnia Herzegovina,,,,,31.9,37.2,37.8
Trebinje,Bosnia Herzegovina,,,,,18.6,18.5,18.5
Tuzla,Bosnia Herzegovina,,43.1,35.3,32.1,33.2,49.4,51.2
Zenica,Bosnia Herzegovina,,,34.8,27.7,76.8,48.6,44.2
Zvornik,Bosnia Herzegovina,,,,,25.7,26.8,27.0
Acrelandia,Brazil,,,,,28.0,23.3,20.8
Barra Mansa,Brazil,,,,,,17.2,17.2
Boa Vista,Brazil,,,,,5.6,4.5,4.4
Brasileia,Brazil,,,,18.6,15.4,17.6,17.6
Campinas,Brazil,,16.0,20.0,,16.4,15.5,15.6
Colombo,Brazil,,,,,13.5,15.2,16.6
Cruzeiro do Sul,Brazil,,,9.3,12.6,10.3,11.8,11.7
Cubatao,Brazil,,,,,17.0,17.1,16.9
Curitiba,Brazil,,,,,12.0,12.0,13.5
Diadema,Brazil,,,,,,13.7,13.4
Feijo,Brazil,,,,14.2,11.7,15.7,15.8
Fortaleza,Brazil,,,,,4.3,4.1,4.1
Guarulhos,Brazil,17.3,21.6,18.7,16.4,16.1,15.0,15.0
Jundiai,Brazil,,,,14.0,13.1,12.5,12.4
Macapa,Brazil,,,,,7.5,4.4,4.6
Manaus,Brazil,,,,,10.3,12.7,12.1
Mancio Lima,Brazil,,,,,9.2,6.5,8.0
Marituba,Brazil,,,,,12.2,11.6,11.6
Maua,Brazil,,,,,13.7,13.6,14.2
Osasco,Brazil,,22.1,19.8,16.7,16.8,15.1,15.0
Palmas,Brazil,,,,,6.3,10.6,10.4
Pianco,Brazil,,,,,4.6,4.0,4.0
Piracicaba,Brazil,12.5,13.6,13.4,13.7,13.3,11.6,11.3
Porto Velho,Brazil,,,,,22.1,20.2,20.2
Ribeirao Preto,Brazil,5.9,11.3,8.2,7.2,11.8,13.0,13.1
Rio Branco,Brazil,,,16.0,14.7,12.6,18.2,18.4
Rio Claro,Brazil,,,,17.8,16.7,14.9,15.1
Rio de Janeiro,Brazil,,,,,13.0,10.6,10.6
Santa Branca,Brazil,,,,,10.0,8.1,8.1
Santa Gertrudes,Brazil,,,18.8,15.9,18.1,16.9,16.8
Santos,Brazil,15.9,14.8,15.4,13.7,12.0,12.1,12.1
Sao Bernardo do Campo,Brazil,,16.4,16.7,15.9,15.2,13.9,13.9
Sao Caetano do Sul,Brazil,,18.1,17.2,15.0,15.5,13.9,13.8
Sao Jose do Rio Preto,Brazil,,15.4,15.2,16.6,15.7,10.4,10.4
Sao Jose dos Campos,Brazil,,,11.8,11.5,15.0,10.2,10.2
Sao Paulo,Brazil,16.0,16.2,15.3,14.2,14.8,13.5,13.5
Senador Guiomard,Brazil,,,,,12.9,18.7,18.7
Taubate,Brazil,,11.4,11.5,11.7,11.6,10.9,10.8
Timoteo,Brazil,,,,,,13.9,13.7
Blagoevgrad,Bulgaria,,,,,11.2,17.4,15.1
Burgas,Bulgaria,,,17.4,17.8,17.3,16.0,15.7
Ruse,Bulgaria,25.4,24.8,22.0,19.4,16.3,15.7,15.7
Sofia,Bulgaria,20.8,28.2,26.8,27.5,17.6,19.1,19.1
Ouagadougou,Burkina Faso,,,,,,63.0,58.0
Phnom Penh,Cambodia,20.8,20.1,21.1,21.1,19.8,8.3,8.2
Abbotsford,Canada,6.1,7.2,7.5,7.8,6.6,7.1,7.0
Air Ronge,Canada,,,,,12.1,4.1,4.0
Alberta Beach,Canada,,,6.1,5.0,6.4,5.4,5.4
Algoma,Canada,,,,,9.9,4.7,4.6
Ancaster,Canada,,,,,7.0,6.2,6.1
Anzac,Canada,,,5.9,4.5,5.8,5.5,5.6
Ardrossan,Canada,,,6.2,5.0,7.0,5.5,5.5
Athabasca,Canada,,,,,9.4,7.3,7.2
Baie-Comeau,Canada,,,,,8.2,5.2,5.1
Bainsville,Canada,,,,,,3.1,3.0
Balzac,Canada,,,6.1,5.2,8.0,5.8,5.8
Banff,Canada,,,,,6.5,6.0,5.9
Barrie,Canada,7.4,7.9,7.5,7.3,7.2,6.9,6.9
Barrière,Canada,,,8.2,8.7,17.7,9.9,9.9
Bathurst,Canada,6.0,5.7,5.2,5.1,5.5,5.1,5.1
Beaverlodge,Canada,5.6,8.1,6.8,4.7,5.1,4.9,4.8
Becancour (Arena),Canada,,,,,8.8,7.2,7.4
Belleville,Canada,6.1,6.4,6.3,6.5,6.1,5.6,5.6
Beloeil,Canada,,,,,7.5,6.9,6.8
Berthierville,Canada,,,,,7.5,6.9,6.8
Bezanson,Canada,,,,5.1,6.3,5.3,5.2
Bonnyville,Canada,,,5.5,4.9,9.1,8.5,8.4
Botwood,Canada,,,,,10.4,6.1,6.0
Bourassa,Canada,,,,,6.7,7.5,7.5
Bowen Island,Canada,,,,,6.0,5.5,5.4
Brampton,Canada,7.6,7.5,6.7,6.8,7.4,7.4,7.4
Brantford,Canada,7.4,7.8,7.1,7.1,8.0,7.4,7.4
Brazeau,Canada,,,,,10.5,7.9,7.8
Brooks,Canada,,,,,8.8,6.2,6.2
Brossard,Canada,,,,,7.6,7.4,7.4
Bruderheim,Canada,7.0,10.7,7.7,6.1,8.4,7.4,7.4
Burin,Canada,,,3.8,4.6,4.9,5.8,5.9
Burlington,Canada,7.4,7.5,6.8,7.4,9.6,8.4,8.4
Burnaby,Canada,,,4.9,6.6,5.4,6.8,6.8
Burns Lake,Canada,,,10.9,7.5,7.4,7.6,7.2
Cabano,Canada,,,,,5.1,3.8,3.9
Cache Creek,Canada,,,,,4.5,6.2,6.1
Calgary,Canada,7.5,10.9,6.9,5.9,8.4,6.3,6.3
Campbell River,Canada,,,,8.7,6.7,6.3,7.1
Camrose,Canada,,,,,10.6,7.9,7.8
Canmore,Canada,,,,,13.8,6.5,6.4
Capital Regional District,Canada,,,,,8.6,10.1,10.1
Cardston,Canada,,,,,15.1,7.2,6.9
Carrot Creek,Canada,,,,,7.1,8.3,8.3
Castlegar,Canada,,,,10.8,21.1,10.2,10.2
Chambord,Canada,,,,,5.9,4.7,4.8
Champlain,Canada,,,6.9,7.4,7.5,7.4,7.2
Chard,Canada,,,6.2,5.4,7.4,7.5,7.5
Charette,Canada,,,,,6.9,6.3,6.3
Charlie Lake,Canada,,,,4.4,4.0,5.7,5.7
Charlotte County,Canada,,,,,9.8,9.4,9.4
Charlottetown,Canada,9.9,9.7,8.1,6.4,4.7,4.3,4.2
Chatham-Kent,Canada,,,6.9,7.1,7.7,7.2,7.2
Chemainus,Canada,,,9.1,9.5,8.2,9.3,9.4
Chetwynd,Canada,,,,,4.5,6.7,7.0
